"ID","Complete Name","Phase","Planning link","Project","Phase name","Level 0 (String)","Previous L0","Previous phase","End Previous","theorical start","Start (auto)","Is start ok ?","End (auto)","Pertinence des dates","Calculation mode","Start (manual)","End (manual)","Start (Level 1)","End (Level 1)"
"00110","Em-Rhône - COMEX PROJET - 2025/04/15 → 5-Ramp Up","5-Ramp Up","Em-Rhône - COMEX PROJET - 2025/04/15","Em-Rhône","5-Ramp Up","","","","","","30/04/2030","No","30/04/2030","","From Level 1","30/04/2030","30/04/2030","30/04/2030","30/04/2030"
"00109","Em-Rhône - COMEX PROJET - 2025/04/15 → 4-Construction","4-Construction","Em-Rhône - COMEX PROJET - 2025/04/15","Em-Rhône","4-Construction","","","","","","03/06/2026","No","17/10/2028","","From Level 1","03/06/2026","17/10/2028","03/06/2026","17/10/2028"
"00108","Em-Rhône - COMEX PROJET - 2025/04/15 → 3-Road To FID","3-Road To FID","Em-Rhône - COMEX PROJET - 2025/04/15","Em-Rhône","3-Road To FID","","","","","","01/06/2025","No","30/10/2026","","From Level 1","01/06/2025","31/07/2026","01/06/2025","30/10/2026"
"00107","Em-Rhône - COMEX PROJET - 2025/04/15 → 2-Road To PID","2-Road To PID","Em-Rhône - COMEX PROJET - 2025/04/15","Em-Rhône","2-Road To PID","","","","","","01/01/2025","No","31/05/2025","","From Level 1","01/01/2025","31/05/2025","01/01/2025","31/05/2025"
"00106","Em-Rhône - COMEX PROJET - 2025/04/15 → 1-Feasibility","1-Feasibility","Em-Rhône - COMEX PROJET - 2025/04/15","Em-Rhône","1-Feasibility","","","","","","03/01/2022","No","04/10/2024","","From Level 1","03/01/2022","04/10/2024","03/01/2022","04/10/2024"
"00100","Numancia - COMEX PROJET - 2025/01/01 → 5-Ramp Up","5-Ramp Up","Numancia - COMEX PROJET - 2025/01/01","Numancia","5-Ramp Up","","","","","","12/09/2025","No","16/11/2026","","From Level 1","12/09/2025","16/11/2026","12/09/2025","16/11/2026"
"00099","Numancia - COMEX PROJET - 2025/01/01 → 4-Construction","4-Construction","Numancia - COMEX PROJET - 2025/01/01","Numancia","4-Construction","","","","","","31/01/2023","No","28/06/2027","","From Level 1","31/01/2023","28/06/2027","31/01/2023","28/06/2027"
"00098","Numancia - COMEX PROJET - 2025/01/01 → 3-Road To FID","3-Road To FID","Numancia - COMEX PROJET - 2025/01/01","Numancia","3-Road To FID","","","","","","29/05/2025","No","14/06/2029","","From Level 1","09/12/2025","14/06/2029","29/05/2025","14/06/2029"
"00097","Numancia - COMEX PROJET - 2025/01/01 → 2-Road To PID","2-Road To PID","Numancia - COMEX PROJET - 2025/01/01","Numancia","2-Road To PID","","","","","","17/03/2025","No","08/12/2025","","From Level 1","17/03/2025","08/12/2025","17/03/2025","08/12/2025"
"00096","Numancia - COMEX PROJET - 2025/01/01 → 1-Feasibility","1-Feasibility","Numancia - COMEX PROJET - 2025/01/01","Numancia","1-Feasibility","","","","","","06/02/2024","No","23/01/2026","","From Level 1","06/02/2024","23/01/2026","06/02/2024","23/01/2026"
"00090","Neocarb - COMEX PROJET - 2025/02/27 → 3-Road To FID","3-Road To FID","Neocarb - COMEX PROJET - 2025/02/27","Neocarb","3-Road To FID","","","","","","01/01/2027","No","31/12/2027","","Manual","01/01/2027","31/12/2027","",""
"00089","Neocarb - COMEX PROJET - 2025/02/27 → 2-Road To PID","2-Road To PID","Neocarb - COMEX PROJET - 2025/02/27","Neocarb","2-Road To PID","","","","","","01/01/2026","No","31/12/2026","","Manual","01/01/2026","31/12/2026","",""
"00088","Neocarb - COMEX PROJET - 2025/02/27 → 1-Feasibility","1-Feasibility","Neocarb - COMEX PROJET - 2025/02/27","Neocarb","1-Feasibility","","","","","","01/01/2025","No","31/12/2025","","From Level 1","01/01/2025","31/12/2025","01/01/2025","31/12/2025"
"00080","Greencoast - COMEX PROJET - Décembre 2024 → 2-Road To PID","2-Road To PID","Greencoast - COMEX PROJET - 2024/12/19","Greencoast","2-Road To PID","","","","","","01/01/2026","No","31/12/2026","","Manual","01/01/2026","31/12/2026","",""
"00079","Greencoast - COMEX PROJET - Décembre 2024 → 1-Feasibility","1-Feasibility","Greencoast - COMEX PROJET - 2024/12/19","Greencoast","1-Feasibility","","","","","","01/01/2025","No","31/12/2025","","From Level 1","01/01/2025","31/12/2025","01/01/2025","31/12/2025"
"00078","Greencoast - COMEX PROJET - Décembre 2024 → 3-Road To FID","3-Road To FID","Greencoast - COMEX PROJET - 2024/12/19","Greencoast","3-Road To FID","","","","","","01/01/2027","No","31/12/2027","","Manual","01/01/2027","31/12/2027","",""
