"SheetName";"URL";"API URL";"Type of field";"Field Location";"Field Name";"Field Type";"Field ID";"Memo"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"S13";"Décembre";"Number";"1003918";"Read Only"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"R13";"Novembre";"Number";"1003917";"Read Only"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"Q13";"Octobre";"Number";"1003916";"Read Only"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"P13";"Septembre";"Number";"1003915";"Read Only"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"O13";"Août";"Number";"1003914";"Read Only"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"N13";"Juillet";"Number";"1003913";"Read Only"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"M13";"Juin";"Number";"1003912";"Read Only"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"L13";"Mai";"Number";"1003911";"Read Only"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"K13";"Avril";"Number";"1003910";"Read Only"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"J13";"Mars";"Number";"1003909";"Read Only"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"I13";"Février";"Number";"1003908";"Read Only"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"H13";"Janvier";"Number";"1003907";"Read Only"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"G13";"Montant HT Annuel";"Number";"1003906";"Formula: H13+I13+J13+K13+L13+ M13+N13+O13+P13+Q13+R13+S13
Read Only"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"E13";"Description";"Free text";"1003920";"Read Only"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"D13";"Catégorie";"Selection";"1003905";"Read Only
Linked to field nom on sheet Catégories"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"C13";"Fournisseur";"Selection";"1003904";"Read Only
Linked to field Nom on sheet Sociétés partenaires - Fournisseurs"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"subfield";"A13";"id";"Free text";"1003901";"Read Only
Auto Generate: GROUP_DETAILS_{1`date`yyyy}_{0`number`00000}"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"main";"A10";"Montant Total";"Number";"1003921";"Formula: G13"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"main";"F7";"Année";"Free text";"1003969";"Read Only
Hidden
Loaded from field Année on sheet Budget"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"main";"M6";"Département";"Free text";"1004866";"Read Only
Hidden
Loaded from field Département on sheet Département par Pôle"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"main";"K6";"Pole associé";"Selection";"1004865";"Read Only
Hidden
Linked to field Nom on sheet Pôle
Loaded from field Pole associé on sheet Département par Pôle"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"main";"F6";"Département par pole";"Selection";"1004864";"Read Only
Hidden
Linked to field nom on sheet Département par Pôle
Loaded from field Département par pole on sheet Budget"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"main";"A6";"Groupe";"Selection";"1004858";"Linked to field Nom on sheet Groupe Budget"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"main";"F5";"Service";"Selection";"1003967";"Read Only
Hidden
Linked to field Nom on sheet Service par département
Loaded from field Service on sheet Budget"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"main";"A5";"budget Associé";"Selection";"1002828";"Linked to field Name on sheet Budget"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"main";"A2";"nom";"Free text";"1002920";"Formula: A5 + "" - "" + A6
Read Only
Unique;Unique"
"↳ Budget Groupes";"https://ragic.elyse.energy/default/newbudget/2";"https://ragic.elyse.energy/default/newbudget/2?api=true";"main";"F1";"id";"Free text";"1002937";"Read Only
Auto Generate: BUDGET_DETAILS_{1`date`yyyy}_{0`number`000000}
Hidden
Unique;Unique"
"Budget";"https://ragic.elyse.energy/default/newbudget/1";"https://ragic.elyse.energy/default/newbudget/1?api=true";"subfield";"E17";"Montant Total";"Number";"1003921";"Read Only"
"Budget";"https://ragic.elyse.energy/default/newbudget/1";"https://ragic.elyse.energy/default/newbudget/1?api=true";"subfield";"C17";"Groupe";"Selection";"1004858";"Read Only
Linked to field Nom on sheet Groupe Budget"
"Budget";"https://ragic.elyse.energy/default/newbudget/1";"https://ragic.elyse.energy/default/newbudget/1?api=true";"subfield";"A17";"id";"Free text";"1002937";"Read Only
Auto Generate: {0`number`00000}"
